[rosmaster.main][INFO] 2020-07-30 18:04:47,207: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-30 18:04:47,208: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-30 18:04:47,209: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-07-30 18:04:47,210: Master initialized: port[11311], uri[http://ubiquityrobot.local:11311/]
[xmlrpc][INFO] 2020-07-30 18:04:47,210: Started XML-RPC server [http://ubiquityrobot.local:11311/]
[xmlrpc][INFO] 2020-07-30 18:04:47,211: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-30 18:04:47,282: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:47,285: +PARAM [/roslaunch/uris/host_ubiquityrobot_local__42041] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:47,393: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:47,393: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:47,571: +SERVICE [/rosout/get_loggers] /rosout http://ubiquityrobot.local:35127/
[rosmaster.master][INFO] 2020-07-30 18:04:47,574: +SERVICE [/rosout/set_logger_level] /rosout http://ubiquityrobot.local:35127/
[rosmaster.master][INFO] 2020-07-30 18:04:47,582: +PUB [/rosout_agg] /rosout http://ubiquityrobot.local:35127/
[rosmaster.master][INFO] 2020-07-30 18:04:47,594: +SUB [/rosout] /rosout http://ubiquityrobot.local:35127/
[rosmaster.master][INFO] 2020-07-30 18:04:49,570: +PARAM [/roslaunch/uris/host_ubiquityrobot_local__45297] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,586: +PARAM [/rosbridge_ws/rosapi/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,586: +PARAM [/joy_node/dev] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,586: +PARAM [/rosbridge_wss/rosbridge_websocket/certfile] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,586: +PARAM [/teleop_twist_joy/enable_button] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,587: +PARAM [/teleop_twist_joy/axis_linear] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,587: +PARAM [/teleop_twist_joy/enable_turbo_button] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,587: +PARAM [/rosbridge_wss/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,587: +PARAM [/rosbridge_ws/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,588: +PARAM [/rosbridge_wss/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,588: +PARAM [/rosbridge_ws/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,588: +PARAM [/teleop_twist_joy/scale_linear_turbo] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,588: +PARAM [/rosbridge_wss/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,589: +PARAM [/rosbridge_ws/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,589: +PARAM [/rosbridge_ws/rosbridge_websocket/bson_only_mode] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,589: +PARAM [/rosbridge_ws/rosapi/params_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,589: +PARAM [/teleop_twist_joy/scale_linear] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,589: +PARAM [/rosbridge_wss/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,590: +PARAM [/rosbridge_wss/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,590: +PARAM [/ubiquity_robot_mode] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,590: +PARAM [/rosbridge_ws/rosbridge_websocket/topics_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,590: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,590: +PARAM [/rosbridge_wss/rosbridge_websocket/services_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,591: +PARAM [/rosbridge_wss/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,591: +PARAM [/rosbridge_ws/rosbridge_websocket/use_compression] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,591: +PARAM [/rosbridge_wss/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,591: +PARAM [/rosbridge_ws/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,592: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,592: +PARAM [/rosbridge_ws/rosbridge_websocket/unregister_timeout] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,592: +PARAM [/rosbridge_wss/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,592: +PARAM [/rosbridge_ws/rosbridge_websocket/params_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,593: +PARAM [/joy_node/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,593: +PARAM [/teleop_twist_joy/scale_angular] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,593: +PARAM [/rosbridge_ws/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,593: +PARAM [/rosbridge_ws/rosapi/services_glob] by /roslaunch
[rosmaster.master][INFO] 2020-07-30 18:04:49,593: +PARAM [/rosbridge_ws/rosbridge_websocket/fragment_timeout] by /roslaunch
